unique	unique_null	directional	directional_null	edit_distance
66	66	66	66	Single_UMI
0	0	0	0	0
0	0	0	0	1
1	0	1	0	2
1	2	1	5	3
8	5	7	7	4
12	12	12	10	5
51	43	45	33	6
45	53	52	58	7
8	12	8	13	8
1	1	1	2	9
1	0	1	0	10
0	0	0	0	11
